committee_name,donations_in_millions
WINRED,1658.878106
BIDEN FOR PRESIDENT,996.265238
REPUBLICAN NATIONAL COMMITTEE,305.198557
BIDEN VICTORY FUND,217.962145
SENATE GEORGIA BATTLEGROUND FUND,201.23881
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,191.96945
JON OSSOFF FOR SENATE,172.534915
WARNOCK FOR GEORGIA,154.954716
TRUMP VICTORY,151.907407
"DONALD J. TRUMP FOR PRESIDENT, INC.",129.803795
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,114.79356
DCCC,112.358157
BIDEN ACTION FUND,111.277626
BERNIE 2020,104.547902
PERDUE FOR SENATE,104.375234
DSCC,102.299405
NRSC,91.01418
MARK KELLY FOR SENATE,86.783513
NRCC,78.544109
STOP REPUBLICANS,70.587212